instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13623298,53216,NIFTY25JULFUT,NIFTY,0.0,2025-07-31,0.0,0.1,75,FUT,NFO-FUT,NFO
16410370,64103,NIFTY25AUGFUT,NIFTY,0.0,2025-08-28,0.0,0.1,75,FUT,NFO-FUT,NFO
13568258,53001,NIFTY25SEPFUT,NIFTY,0.0,2025-09-25,0.0,0.1,75,FUT,NFO-FUT,NFO
13622530,53213,BANKNIFTY25JULFUT,BANKNIFTY,0.0,2025-07-31,0.0,0.2,35,FUT,NFO-FUT,NFO
16409602,64100,BANKNIFTY25AUGFUT,BANKNIFTY,0.0,2025-08-28,0.0,0.2,35,FUT,NFO-FUT,NFO
13566722,52995,BANKNIFTY25SEPFUT,BANKNIFTY,0.0,2025-09-25,0.0,0.2,35,FUT,NFO-FUT,NFO
13568770,53003,360ONE25JULFUT,360ONE,0.0,2025-07-31,0.0,0.1,500,FUT,NFO-FUT,NFO
13569026,53004,360ONE25AUGFUT,360ONE,0.0,2025-08-28,0.0,0.1,500,FUT,NFO-FUT,NFO
13570818,53011,360ONE25SEPFUT,360ONE,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13623810,53218,AARTIIND25JULFUT,AARTIIND,0.0,2025-07-31,0.0,0.05,1325,FUT,NFO-FUT,NFO
13624066,53219,ABB25JULFUT,ABB,0.0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO
16410882,64105,ABB25AUGFUT,ABB,0.0,2025-08-28,0.0,0.5,125,FUT,NFO-FUT,NFO
13571074,53012,ABB25SEPFUT,ABB,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13624322,53220,ABCAPITAL25JULFUT,ABCAPITAL,0.0,2025-07-31,0.0,0.05,3100,FUT,NFO-FUT,NFO
16411138,64106,ABCAPITAL25AUGFUT,ABCAPITAL,0.0,2025-08-28,0.0,0.05,3100,FUT,NFO-FUT,NFO
13571330,53013,ABCAPITAL25SEPFUT,ABCAPITAL,0.0,2025-09-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
13624578,53221,ABFRL25JULFUT,ABFRL,0.0,2025-07-31,0.0,0.01,2600,FUT,NFO-FUT,NFO
16411394,64107,ABFRL25AUGFUT,ABFRL,0.0,2025-08-28,0.0,0.01,2600,FUT,NFO-FUT,NFO
13624834,53222,ACC25JULFUT,ACC,0.0,2025-07-31,0.0,0.1,300,FUT,NFO-FUT,NFO
13625090,53223,ADANIENSOL25JULFUT,ADANIENSOL,0.0,2025-07-31,0.0,0.05,675,FUT,NFO-FUT,NFO
16411650,64108,ADANIENSOL25AUGFUT,ADANIENSOL,0.0,2025-08-28,0.0,0.05,675,FUT,NFO-FUT,NFO
13571586,53014,ADANIENSOL25SEPFUT,ADANIENSOL,0.0,2025-09-30,0.0,0.05,675,FUT,NFO-FUT,NFO
13625346,53224,ADANIENT25JULFUT,ADANIENT,0.0,2025-07-31,0.0,0.1,300,FUT,NFO-FUT,NFO
16411906,64109,ADANIENT25AUGFUT,ADANIENT,0.0,2025-08-28,0.0,0.1,300,FUT,NFO-FUT,NFO
13571842,53015,ADANIENT25SEPFUT,ADANIENT,0.0,2025-09-30,0.0,0.1,300,FUT,NFO-FUT,NFO
13625602,53225,ADANIGREEN25JULFUT,ADANIGREEN,0.0,2025-07-31,0.0,0.1,600,FUT,NFO-FUT,NFO
16412162,64110,ADANIGREEN25AUGFUT,ADANIGREEN,0.0,2025-08-28,0.0,0.1,600,FUT,NFO-FUT,NFO
13572098,53016,ADANIGREEN25SEPFUT,ADANIGREEN,0.0,2025-09-30,0.0,0.1,600,FUT,NFO-FUT,NFO
13625858,53226,ADANIPORTS25JULFUT,ADANIPORTS,0.0,2025-07-31,0.0,0.1,475,FUT,NFO-FUT,NFO
16412418,64111,ADANIPORTS25AUGFUT,ADANIPORTS,0.0,2025-08-28,0.0,0.1,475,FUT,NFO-FUT,NFO
13573122,53020,ADANIPORTS25SEPFUT,ADANIPORTS,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13626114,53227,ALKEM25JULFUT,ALKEM,0.0,2025-07-31,0.0,0.1,125,FUT,NFO-FUT,NFO
